readable_name,original_name,question_text,field_type,answer_mapping,notes
company_size,Q1,What is the size of your company?,categorical,1=Small (1-99 employees); 2=Medium (100-499 employees); 3=Large (500+ employees),
industry,Q2,What industry is your company in? - Selected Choice,categorical,1=Manufacturing; 2=Retail; 3=Finance; 4=Healthcare; 5=Technology; 6=Other (please specify),
industry_2,Q2_6_TEXT,What industry is your company in? - Other (please specify) - Text,text,free text,text companion to an Other option
years_operations,Q3,How many years has your company been in operation?,categorical,1=Less than 5 years; 2=5-10 years; 3=10-20 years; 4=Over 20 years,
annual_revenue,Q4,What is your company's annual revenue?,categorical,1=Less than $1 million; 2=$1 million - $5 million; 3=$5 million - $10 million; 4=$10 million - $100 million; 5=More than $100 million,
large_department,Q5,How large is your company's IT department?,categorical,1=Less than 5 employees; 2=5-20 employees; 3=21-50 employees; 4=51-100 employees; 5=More than 100 employees,
percentage_budget_allocated,Q6,What percentage of your company's budget is allocated to IT?,categorical,1=Less than 1%; 2=1-5%; 3=6-10%; 4=11-20%; 5=More than 20%,
role,Q7,What is your role in the company? - Selected Choice,categorical,1=CEO or CFO; 2=Business VP or manager; 3=CIO or head of IT; 4=IT Manager or head of technology; 5=IT Project Manager; 6=IT Staff; 7=Other (please specify),
role_2,Q7_7_TEXT,What is your role in the company? - Other (please specify) - Text,text,free text,text companion to an Other option
top_spending_categories,Q9,"Which of the following best describes your company's top IT spending categories?
(Select up to 3) - Selected Choice",multi_select,"1=Infrastructure; 2=Software Development; 3=Cyber Security; 4=Cloud Services (e.g., cloud hosting, storage); 5=Data Analytics (e.g., business intelligence, big data tools); 6=IT Training and Development (e.g., staff upskilling, certifications); 7=Customer Relationship Management (CRM) Systems; 8=Enterprise Resource Planning (ERP) Systems; 9=AI and Machine Learning Initiatives (e.g., automation, predictive analytics); 10=Network and Communication Systems (e.g., VPN, telecommunication); 11=End-User Computing (e.g., laptops, workstations, mobile devices); 12=DevOps and IT Operations; 13=Digital Marketing Technologies; 14=Other (please specify)",multi-select field (comma-separated codes)
top_spending_categories_2,Q9_14_TEXT,"Which of the following best describes your company's top IT spending categories?
(Select up to 3) - Other (please specify) - Text",text,free text,text companion to an Other option
it_budget_priority,Q10,How does your company prioritize IT investments?,categorical,1=Based on cost-benefit analysis; 2=Urgency of need; 3=Strategic alignment with business goals; 4=Return on investment (ROI); 5=Regulatory compliance requirements; 6=Stakeholder demands; 7=Long-term growth potential; 8=Risk mitigation considerations; 9=Competitive advantage opportunities,
responsiveness_changing_business_needs,Q11,How would you rate the responsiveness of IT to changing business needs?,numeric_or_likert,"1=Not responsive at all; 2=Not very responsive, often struggling to meet changing needs; 3=Somewhat responsive, with occasional delays; 4=Responsive, addressing changes in a reasonable timeframe; 5=Very responsive, adapting quickly to new requirements",
ai_initiatives_actively_being,Q33,"Artificial intelligence (AI) initiatives are actively being implemented in our organization (e.g., automation, predictive analytics, decision support systems).",numeric_or_likert,1=Strongly disagree; 2=Disagree; 3=Neutral; 4=Agree; 5=Strongly agree,
